naslov	opis
The Sixth Man (1997)	Antoine and Kenny Tyler are NCAA college basketball players, and Antoine is the star. Suddenly Antoine dies of heart attack and Kenny has to fill his shoes as leader of team. Some time ... See full summary »
Butterfly Kiss (1995)	Eunice is walking along the highways of northern England from one filling station to another. She is searching for Judith, the woman, she says to be in love with. It's bad luck for the ... See full summary »
Paris, France (1993)	Lucy (Leslie Hope), her husband Michael (Victor Ertmanis), and their business partner William (Dan Left) are the owners of a small publishing company in Toronto. The stability of their ... See full summary »
La cérémonie (2014)	Add a Plot
Hush (1998)	Helen is the young girlfriend of good-looking Jackson Baring. When Helen gets pregnant and marries Jackson, they decide to move to his hometown, Kilronan, and have a baby there. But his ... See full summary »
Nightwatch (2015– )	Follow the men and women who keep the citizens of New Orleans safe during the night. Ride along with the police officers, the firefighters, and the paramedics as they tackle the evils of the night.
Keiner liebt mich (1994)	On the brink of her 30th birthday, Fanny feels the door to marital happiness closing up on her. She is obsessed with death, even visits evening classes on dying and so it seems fitting, ... See full summary »
Dobra žena (2009– )	Alicia has been a good wife to her husband, a former state's attorney. After a very humiliating sex and corruption scandal, he is behind bars. She must now provide for her family and returns to work as a litigator in a law firm.
Lamerica (1994)	Two Italian racketeers come to Albania just after the fall of the communists to set up a fictive firm and pocket the grants. They need a stooge. They choose an old one in a jail : Spiro. ... See full summary »
Nico Icon (1995)	A look into the many lives of Christa Päffgen, otherwise known as Nico; from cutie German mädchen to the first of the supermodels, to glamorous diva of the Velvet Underground, to cult item,... See full summary »
Samt el qusur (1994)	As she grows up, Alia (the daughter of housemaid Khedija) learns the secrets of the peaceful palace where she and her mother live.
Slingshot (2005)	Taylor and Ashley has found the Perfect way to earn money. They seduce rich suburban women and robs them. This all goes well until Taylor falls in love with one of their victims.
Land and Freedom (1995)	Spring 1936, a young unemployed communist, David, leaves his hometown Liverpool to join the fight against fascism in Spain. He joins an international group of Militia-men and women, the ... See full summary »

Etz Hadomim Tafus (1994)	Individual memories of a group of teenage Holocaust survivors in Israel creates sharp conflicts among them.
2 Friends (1987)	Two girls, at 15; Louise, in a prestigious girls' high school, and Kelly, who was admitted but forbidden by her father to attend. This is the end of their friendship, and from here the film... See full summary »
Brothers in Trouble (1995)	Amir is an illegal Pakistani immigrant smuggled into England in the 1960's to work, to send money to his family and perhaps even bring them over with him. A skilled laborer, he is forced to... See full summary »
Girls Town (1996)	A look at a group of girl friends coming-of-age during their senior year of high school in urban America. Nikki and Emma have a heart to heart talk one evening about how much they'll miss ... See full summary »
Normal Life (1996)	Chris is young idealistic cop who falls in love and gets married to Pam, a beautiful but emotionally unstable woman who suffers from alcoholism and drug addiction. While Chris is trying ... See full summary »
Azúcar amarga (1996)	Gustavo is a young Havana Communist who believes in the revolution; he hopes for a scholarship to study aeronautical engineering in Prague. But his faith in the new Cuba is tested: his ... See full summary »
Osmi dan (1996)	An unusual and wonderful friendship develops between a busy but unhappy salesman and a resident of a mental asylum.
Dadetown (1995)	Interviews in the Michael Moore/"Roger and Me" tradition examine life in small-town America, class conflicts and the collapse of an upstate New York community, Dadetown, when the town's ... See full summary »
Some Mother's Son (1996)	Based on the true story of the 1981 hunger strike in a British prison, in which IRA prisoner Bobby Sands led a protest against the treatment of IRA prisoners as criminals rather than as ... See full summary »
Angel Baby (1995)	Two schizophrenics meet during therapy and fall passionately in love. Ahead of them lies the inevitable road to disaster...one they share to the end.
Sudden Manhattan (1996)	Donna witnesses identical murders on the same street on different days. Is this a supernatural conspiracy or is she merely cracking up?
Butcher Boys (2012)	A gut-wrenching, non-stop roller coaster ride through the hellish underbelly of inner-city America. A birthday celebration at an upscale restaurant sets in motion events that bring Sissy, ... See full summary »
Men with Guns (1997)	Humberto Fuentes is a wealthy doctor whose wife has recently died. In spite of the advice of his children, he takes a trip to visit his former students who now work in impoverished villages... See full summary »
Ognjemet (1997)	Nishi leaves the police in the face of harrowing personal and professional difficulties. Spiraling into depression, he makes questionable decisions.
Niagara, Niagara (1997)	An outsider and a young woman plagued by Tourette's syndrome meet and together journey to Canada.
One Big Happy (2015– )	A lesbian and her straight guyfriend decide to have a baby together.
Butcher Boys (2012)	A gut-wrenching, non-stop roller coaster ride through the hellish underbelly of inner-city America. A birthday celebration at an upscale restaurant sets in motion events that bring Sissy, ... See full summary »
Spanski zapornik (1997)	An employee of a corporation with a lucrative secret process is tempted to betray it. But there's more to it than that.
Feng yue (1996)	Not far from Shanghai, in a country twon stands the palatial home of the Pang family. Old Master Pang is an addict who brings up his beautiful daughter Ruyi on opium smoke. Her older ... See full summary »
Entertaining Angels: The Dorothy Day Story (1996)	The phrase "entertaining angels" refers to the practice of treating all guests--be they kings or peasants--as if they were visiting angels. This is the challenge for all humble Christians ... See full summary »

The Favor (1994)	Kathy is married to Peter. Now she can't help but wonder how things could have been if she got together with her old boyfriend, Tom. Being married prevents from doing that so she asks her ... See full summary »
Little City (1997)	Adam is a painter who works as cab driver and blames his difficulties with women on his former girlfriend Kate who left him for lesbian Anne. As a result he doesn't pay much attention to ... See full summary »
